xlinkID	xlink_1	xlink_2	xlink_3
876	4767	37064	69820
877	22935	45069	66289
878	6653	19516	37114
879	12599	19720	37186
880	4731	17941	19526
881	881	38642	0
882	13098	17722	30381
883	38564	73525	75114
884	64722	70484	77078
885	29863	31143	49591
886	886	43291	0
887	5123	36448	51160
888	26239	70584	0
889	14797	62978	66425
890	24048	40389	42321
891	16291	30119	73068
892	33064	46918	69275
893	5619	32884	74899
894	40668	46337	67912
895	5745	16665	51955
896	57655	73838	0
897	15783	58397	0
898	15735	20101	79032
899	4916	36927	46281
900	10237	53179	76512
901	901	73451	0
902	32410	48256	0
903	3048	70006	70439
904	5463	18158	24808
905	32911	47777	47991
906	51091	63891	72710
907	32505	34090	49543
908	908	23907	0
909	15864	52525	67374
910	15426	31475	32962
911	6008	32965	57050
912	10652	13282	72026
913	9531	38973	57297
914	914	8229	0
915	258	17549	0
916	19757	49812	59478
917	28373	63795	75823
918	21317	45717	66765
919	81	476	30768
920	920	72588	0
921	31379	34516	70763
922	25968	27695	37354
923	36079	36084	79940
924	49019	75549	78565
925	6782	11820	79138
926	15128	42811	79227
927	15156	37639	59426
928	2083	47602	0
929	10249	10529	45494
930	1890	10052	24275
931	16687	45228	68338
932	15727	30503	53409
933	14419	52043	53173
934	28337	62864	79075
935	15939	33409	63832
936	9609	34315	73796
937	15181	29661	62278
938	2702	80373	0
939	48949	56423	72731
940	940	15343	0
941	3897	53093	0
942	693	13680	28907
943	943	18418	0
944	19491	53922	61241
945	20375	49278	49794
946	18741	43460	66366
947	347	27883	60963
948	4064	18212	39931
949	28259	74914	75239
950	16863	68958	74134
951	9024	14591	50252
952	15074	50573	67839
953	9600	31209	71308
954	16203	19713	51190
955	38668	44003	58961
956	26254	35035	50622
957	10477	37438	67089
958	11236	57069	74971
959	66605	68185	75951
960	6205	24008	74948
961	11983	21644	70521
962	39593	58670	78658
963	1643	48839	59929
964	3626	23122	53707
965	25837	61576	0
966	966	26213	0
967	13154	58772	62405
968	28239	31271	69096
969	17674	24260	59667
970	24297	32530	67990
971	16867	60374	68380
972	32235	72155	75365
973	19549	75066	79373
974	6050	16241	47025
975	975	50377	0
976	10328	54325	58830
977	6990	8573	68167
978	1208	4966	55806
979	17563	18940	25351
980	12137	30950	57291
981	2435	64303	73338
982	52761	65193	0
983	25118	30982	68623
984	33649	54606	66799
985	10053	16731	49151
986	3636	45138	52418
987	24907	39526	72369
988	4687	6731	68217
989	989	45168	0
990	29285	45706	80631
991	2784	58745	62670
992	49887	55437	68127
993	29629	36806	53459
994	994	78667	0
995	19197	43628	57205
996	3851	20203	22173
997	5071	24895	66320
998	32903	60505	76069
999	17623	31635	63871
1000	26806	32732	38909
1001	20065	67065	73359
1002	6431	64614	0
1003	1003	5824	0
1004	37550	63982	76407
1005	12296	15749	36947
1006	42880	76726	0
1007	7874	40266	52868
1008	5571	15674	66568
1009	1009	46887	0
1010	6652	18885	24072
1011	7369	32474	35840
1012	5506	45659	0
1013	28859	51975	53630
1014	33319	34443	54339
1015	555	29414	65738
1016	8563	13037	65742
1017	42085	51849	73015
1018	7503	25045	42424
1019	2934	71218	75167
1020	1184	59244	60037
1021	19952	27758	52447
1022	1022	52422	0
1023	2061	9241	25946
1024	37685	67066	77497
1025	4226	73245	79637
1026	6436	7701	49344
1027	12248	23699	24864
1028	13663	59306	73474
1029	7570	42452	57427
1030	2548	44097	79837
1031	25166	27341	74964
1032	14637	54817	60558
1033	26733	43603	70828
1034	6970	42960	65209
1035	18176	62453	0
1036	12400	12861	29439
1037	20273	30506	0
1038	1038	33960	0
1039	4141	4616	71946
1040	13398	23917	40188
1041	8472	15160	22084
1042	19621	56857	68996
1043	47585	70432	71475
1044	43336	54284	73173
1045	18912	36605	70984
1046	30390	46666	54442
1047	17153	43624	44652
1048	25617	57454	65619
1049	15827	34634	63089
1050	52330	58886	0
1051	42370	51205	52018
1052	40475	45688	55849
1053	25068	73632	0
1054	50789	53950	60153
1055	10560	50718	73489
1056	15894	21334	48285
1057	1926	2946	59749
1058	16119	27769	73877
1059	2413	23472	54117
1060	48080	51231	80113
1061	31050	52488	57745
1062	1062	28749	0
1063	22550	38829	50210
1064	4477	51520	76674
1065	1065	57286	0
1066	1066	8711	0
1067	47555	47939	80185
1068	35387	47059	55893
1069	3115	68527	76219
1070	43884	44258	47403
1071	18550	27605	65906
1072	12768	13336	58588
1073	6003	17431	37402
1074	25515	60336	76751
1075	34685	43419	60186
1076	1944	21862	55513
1077	26950	53126	68833
1078	1078	34623	0
1079	9234	51106	77399
1080	14381	44536	80108
1081	1787	24378	78869
1082	14292	16628	64170
