xlinkID	xlink_1	xlink_2	xlink_3	xlink_4
14940	14940	14940	11745	14672
13604	10960	4173	1512	10018
10960	13604	6981	11787	0
15807	7062	11333	12110	1332
7062	15807	5655	10073	15724
6354	13890	1562	9654	3572
13890	6354	1161	0	0
14306	14306	14306	10645	4600
13311	13311	13311	3843	6566
15735	5931	2635	10803	2117
5931	15735	2262	6624	8348
11699	9421	1972	2618	15481
9421	11699	11743	914	5388
14262	15957	14461	2961	15453
8431	2541	722	5105	8595
2541	8431	282	8128	11890
2844	6261	4289	14757	1715
6261	2844	14463	13049	0
6291	6595	4429	13351	6983
6595	6291	5879	797	4718
13790	6720	7503	9716	4288
6720	13790	3355	14349	948
5879	6595	797	10993	15021
3648	5028	2834	2393	15277
5028	3648	14099	3093	13665
10215	10777	12801	3020	15650
10777	10215	933	4838	10668
3346	5560	8902	3887	8367
5560	3346	14716	680	8308
11342	5418	2755	2631	14931
5418	11342	9669	5418	5418
6983	3488	14836	15650	6291
3488	6983	6253	5045	5612
14612	5067	12058	12551	1755
5067	14612	9291	632	8628
2636	7321	4191	4988	0
7321	2636	679	15495	1910
2763	1946	15096	7207	8051
1946	2763	9429	8126	14635
6308	12174	12111	11450	0
429	7565	14352	3834	11532
7565	429	10724	9814	8750
5599	5624	3810	15981	11646
5624	5599	15619	587	8031
4161	15612	5766	4308	3242
15612	4161	4754	7444	2312
10851	1308	1733	0	0
1848	15742	7132	7132	4097
15742	1848	9723	7805	9259
5193	13078	9248	597	7702
13078	5193	6355	6075	7702
2708	15696	2908	4011	5308
15696	2708	12024	11816	7610
175	3164	14288	6923	12308
3164	175	1857	13727	850
12289	1261	10318	12625	11654
1261	12289	4689	1261	1261
2168	15724	330	4640	14686
15724	2168	15116	7062	0
3618	8882	6316	2961	123
8882	3618	2358	3447	8217
469	7426	2794	252	8591
7426	469	8757	5512	11998
7300	14653	8558	4600	8908
1555	4923	6422	7831	1161
4923	1555	3931	4609	8598
5343	9948	12193	6316	419
9948	5343	1827	12978	5588
14311	14501	1161	2101	14655
14501	14311	6584	6253	14777
11756	878	13109	4826	11890
878	11756	7177	3148	12349
14034	14154	14034	14034	1737
14154	14034	6824	6437	629
2813	1037	14143	14856	1037
1037	2813	13358	797	2813
3344	14623	3339	12690	3315
14623	3344	5198	11463	10395
13470	2334	750	2378	6586
2334	13470	9114	10646	11944
11177	3006	6630	4724	1929
3006	11177	2418	5238	3649
1931	167	6917	4108	3798
167	1931	5159	3956	2851
1315	4444	7397	10066	3668
4444	1315	10275	8207	3607
4999	2041	2036	12747	14385
2041	4999	15654	6459	12747
12761	2050	8002	10376	10580
2050	12761	817	3059	6211
7221	8460	523	15495	3059
8460	7221	571	4988	11450
1667	2418	1667	1667	3649
