X Y Z
246.580653 198.342703 241.583429
243.642354 185.827037 249.591073
18.628376 137.520236 12.910721
36.148326 207.456825 236.494764
46.729849 215.764519 210.849051
55.483255 206.971906 233.107617
82.102068 223.679454 243.754065
236.422744 186.368553 223.495456
251.704372 206.121041 224.756738
253.736095 206.957397 26.969967
4.069814 204.317612 18.031014
46.443246 193.744563 223.824317
69.154312 212.457707 234.198265
66.360154 178.024273 18.203811
22.631632 178.939558 17.802109
129.864903 246.560165 222.100643
123.748461 223.090913 3.153689
38.710355 194.289381 45.062513
22.471263 200.225518 27.062742
88.526736 225.390417 8.726149
82.729677 204.696743 27.820542
66.321572 163.130650 237.982082
79.570472 174.928174 251.368651
20.145981 203.942703 6.977678
29.436587 211.158367 27.243296
138.000418 208.078495 7.260321
121.442290 209.143803 243.603891
30.070899 102.542359 6.496126
168.447943 213.110079 17.026122
151.131921 205.393716 235.543988
107.077696 212.407362 5.744926
90.958530 197.134484 22.586722
90.213091 166.174496 226.354899
121.451720 189.056993 226.049555
154.988247 181.123256 53.670390
132.378223 191.944615 46.871618
121.940458 186.363052 10.389870
125.946038 189.245468 42.041627
176.994146 205.498280 19.956303
204.133810 200.418845 250.736701
168.093821 106.790433 234.889848
151.950084 168.831934 247.288590
165.864276 155.420081 2.871688
163.867525 234.827063 18.112176
153.027568 206.697222 252.936568
176.626281 202.703209 215.739894
164.267759 204.148978 226.537121
216.429515 167.814532 255.053974
191.647811 156.063122 11.119108
165.789945 204.991559 229.610724
238.627633 165.796507 18.435467
213.883141 179.009953 32.456033
252.205957 162.541020 6.984399
249.004692 188.611579 25.475295
177.426494 173.291306 6.020259
181.022046 163.647325 17.486122
27.577155 224.770945 12.737938
21.972367 236.883891 255.316364
31.744418 195.273281 11.605150
10.882143 161.048040 6.276323
16.777527 180.136216 254.684927
253.455905 181.580842 5.052026
222.329924 197.697531 251.614671
43.737940 181.419805 237.882724
32.187280 178.289763 242.967779
221.573018 161.517494 241.209182
232.696875 190.246200 20.430419
42.145863 242.294987 8.981359
19.634249 230.771293 27.177132
33.765811 223.213263 235.990881
38.951576 239.531814 2.830610
47.847437 187.979113 226.790657
24.142838 226.552963 233.872889
9.040813 227.202059 218.187916
75.868950 159.121367 233.204201
53.696325 135.378251 244.825318
75.062993 187.046844 238.522436
89.086274 194.224071 3.864682
87.728073 179.825673 215.697836
111.345340 162.048677 229.936184
79.325250 184.876672 178.744398
72.628640 192.397822 183.121336
69.494389 231.494445 33.116842
48.846985 210.530678 49.452679
65.658014 232.464617 66.452459
75.369694 242.528688 46.817253
77.661921 190.312659 237.639610
84.385585 192.149138 232.764207
92.269379 224.328623 44.746869
94.040796 211.906237 40.151313
186.242415 162.074530 20.951275
165.264403 188.411226 35.059538
121.996683 235.038782 209.952967
121.574178 255.223477 204.372037
192.179482 237.684940 58.999777
184.695645 8.330613 34.695340
158.789111 177.014764 252.502699
164.029550 161.710231 2.331893
175.171479 213.348898 231.516488
171.982745 206.021503 227.804134
149.812015 207.942878 39.850416
155.569582 203.297827 67.783237
137.989634 184.622319 5.259667
206.087542 210.513345 28.524790
207.739185 206.294322 11.187903
170.660171 217.409591 1.402061
175.125218 198.193110 2.765322
175.197376 219.181056 6.610875
232.190558 177.649840 14.207048
211.269296 149.064069 14.238935
204.779148 204.510966 32.090087
211.716440 215.845581 40.841273
233.454431 203.797768 222.581346
246.905168 214.998486 232.115502
16.694611 220.628872 249.706249
243.514103 159.704797 245.479107
247.459408 195.409420 4.825601
237.583934 188.131794 235.859613
247.362506 244.655936 248.832616
5.318299 225.743920 17.715546
4.188152 214.388447 50.204699
253.070585 233.480945 61.649960
25.885849 248.771239 246.326146
46.058695 6.498662 254.641753
30.252515 179.750837 10.701423
51.428198 199.170717 20.075324
19.698231 23.719887 229.864449
131.101636 230.686062 15.160890
87.204324 231.387273 29.072501
30.156936 236.694982 27.257720
25.627515 189.302601 219.855011
253.999542 208.417190 214.085927
39.821560 248.004066 45.706706
40.005986 18.519691 38.819486
77.062020 220.477330 216.678575
99.807718 228.675622 231.239863
107.906799 237.948735 12.469123
64.551936 235.888246 255.771953
148.552965 186.772413 247.308668
125.081004 190.232632 9.878724
81.842673 7.565268 32.876649
87.373690 239.744573 16.630494
90.546836 178.242621 22.610890
74.909154 192.455981 1.971365
108.158991 199.860313 50.885333
143.351815 221.745137 18.480834
157.228183 204.543907 48.070301
103.172638 192.312968 213.521466
106.336797 206.552204 249.516783
158.177147 218.926191 246.185322
150.248776 248.494607 12.349806
157.796726 212.112807 5.865570
169.018113 216.960770 9.936001
141.452815 193.574786 6.886054
166.853793 231.278493 234.251914
130.849004 222.150641 225.930302
131.916858 208.916094 25.623587
145.348594 225.326519 22.194139
150.355162 195.404903 19.300623
165.476012 236.853859 254.178660
147.059581 16.926523 254.256794
151.051965 227.386996 237.110373
145.669661 231.005662 243.569636
220.519024 196.237936 25.233744
211.326722 221.775286 8.129685
197.597801 223.803912 252.940761
190.941735 246.329609 229.206094
210.335579 196.722008 65.153322
207.067681 188.479960 44.968951
247.166815 215.877814 1.379015
234.149503 232.585196 17.880744
246.653904 229.527983 8.592657
3.566336 211.395567 2.245784
233.757646 199.358858 2.482222
208.189168 248.498991 245.018885
206.742304 233.383996 0.578526
2.214161 162.274414 3.699072
249.451292 164.564579 239.423025
4.291224 248.416062 1.950719
19.683788 5.413367 20.323602
16.038136 223.153174 246.220057
249.852431 188.195973 213.616034
253.114081 203.072987 214.399528
65.462751 233.105027 8.200985
38.894855 207.321109 0.285600
59.919464 175.885207 242.012288
17.749800 212.607694 254.863197
252.400538 216.487519 7.481617
105.689693 178.054952 6.934572
51.871284 206.002778 19.652615
68.243129 225.380813 9.256946
83.271255 178.589273 241.731950
83.215205 202.081563 221.298103
78.059967 229.811657 20.413389
70.100437 223.146632 15.031912
76.026262 242.055894 228.405192
73.706401 231.660831 249.018139
91.112345 9.989377 40.069760
100.891702 251.739263 32.387715
100.242505 231.997043 10.978370
106.299932 248.379035 9.757996
148.817431 3.678209 29.315746
119.527339 204.644100 2.480386
95.596887 212.662076 3.539256
172.036599 225.087611 248.036818
141.748980 247.900782 237.316637
141.700396 206.985046 13.973532
152.432285 235.553553 6.022750
150.737391 226.803041 5.154658
138.916138 0.222372 6.802234
165.831597 28.902416 240.713964
177.467394 4.517796 11.105953
182.002620 8.939613 245.570846
142.286247 20.721821 252.722837
170.238777 255.102957 245.835567
168.049183 226.872163 243.090041
202.205164 217.645639 243.133270
218.677586 195.979980 225.501701
183.956398 217.222187 213.502849
186.111694 203.501045 220.735228
236.881362 211.930998 250.338070
238.368023 216.160404 27.973483
1.390313 226.371829 197.226259
227.824830 217.691293 208.913896
188.864085 213.466481 252.635554
217.210328 214.344666 1.266592
12.246738 237.014907 242.099963
246.932357 238.067272 240.960176
16.996914 225.687004 17.347251
212.072517 235.196113 233.980430
217.333219 196.729121 245.427089
227.579865 196.505678 6.712469
11.799489 241.101175 3.607719
21.819387 243.488306 0.736977
25.597024 236.158367 228.906721
10.407264 9.043871 215.931443
10.127301 238.734699 15.603512
18.582158 222.837810 238.894993
23.922757 251.452806 245.672007
24.608639 242.628036 248.409702
255.182169 45.705573 26.620708
46.566354 15.850542 201.652978
37.865644 18.104844 209.590210
95.540948 64.791192 75.633094
79.591528 44.379613 83.587725
58.125206 217.389888 35.735413
65.358597 236.867844 11.513217
93.634153 240.623759 60.752463
100.235217 248.633493 60.661232
29.362505 9.650024 241.970071
17.251440 8.105476 218.161074
58.083534 34.090807 244.750684
76.605565 18.233317 221.970281
93.568013 2.822159 37.299738
68.416859 11.178727 25.830633
58.543686 236.025272 14.435950
75.512134 249.654862 12.324018
93.674536 6.279622 42.344862
94.344074 252.500331 35.782051
98.599370 229.787645 25.311586
55.100744 246.277862 5.610260
138.863294 245.657727 26.800571
164.763210 21.855909 252.429698
157.416584 251.612587 249.881718
173.172848 214.679039 5.938251
170.761681 250.045800 238.293190
159.088138 250.651753 248.775961
145.328434 31.143734 245.905877
173.238230 208.532238 253.934893
151.340311 206.654994 229.713690
151.212809 106.042430 192.328388
148.694303 116.461104 201.530695
188.206279 238.784707 255.872829
191.910543 9.615662 6.925046
181.506152 15.139866 19.210919
182.209659 5.522619 21.746451
198.390741 233.646161 238.424796
198.430122 64.533342 249.754421
204.427502 231.385074 26.489612
195.812117 5.247211 228.160013
195.213382 15.831805 213.302573
201.129231 236.783991 250.622568
200.373528 239.003902 236.904938
203.523759 32.220254 11.727249
222.846500 212.612725 244.393858
225.993093 254.836895 230.542945
242.636913 254.348836 12.064422
224.138008 11.118972 233.264707
7.516202 23.363344 18.294430
6.597402 23.334742 254.325341
6.389610 40.060329 238.207781
