ID X Y Z
390 35.629791 84.968890 99.758566
391 34.668677 94.874206 99.453543
392 34.709812 94.417798 10.767905
393 35.151704 95.424995 21.695268
394 34.641614 95.159911 33.086947
395 34.728146 95.092041 44.801108
396 34.954256 94.307162 55.920105
397 34.352143 94.941513 67.264864
398 35.241973 94.669296 77.366682
399 35.605514 94.702233 88.875330
400 35.629791 94.968889 99.758566
401 44.668678 4.874205 99.453542
402 44.709813 4.417797 10.767905
403 45.151704 5.424994 21.695268
404 44.641615 5.159910 33.086947
405 44.728146 5.092040 44.801108
406 44.954256 4.307161 55.920105
407 44.352145 4.941512 67.264864
408 45.241974 4.669295 77.366682
409 45.605515 4.702232 88.875330
410 45.629791 4.968888 99.758566
411 44.668678 14.874204 99.453542
412 44.709813 14.417796 10.767905
413 45.151704 15.424993 21.695268
414 44.641616 15.159909 33.086947
415 44.728146 15.092039 44.801108
416 44.954256 14.307160 55.920105
417 44.352145 14.941511 67.264864
418 45.241974 14.669294 77.366682
419 45.605515 14.702231 88.875330
420 45.629791 14.968887 99.758566
421 44.668678 24.874204 99.453542
422 44.709813 24.417795 10.767905
423 45.151704 25.424993 21.695268
424 44.641616 25.159908 33.086948
425 44.728146 25.092039 44.801108
426 44.954256 24.307159 55.920105
427 44.352144 24.941511 67.264864
428 45.241974 24.669294 77.366682
429 45.605515 24.702230 88.875331
430 45.629792 24.968886 99.758566
431 44.668678 34.874204 99.453542
432 44.709813 34.417796 10.767905
433 45.151705 35.424993 21.695268
434 44.641616 35.159909 33.086948
435 44.728145 35.092039 44.801108
436 44.954257 34.307159 55.920105
437 44.352144 34.941511 67.264864
438 45.241974 34.669294 77.366682
439 45.605515 34.702230 88.875331
440 45.629792 34.968887 99.758566
441 44.668678 44.874205 99.453542
442 44.709813 44.417796 10.767905
443 45.151705 45.424994 21.695268
444 44.641616 45.159909 33.086948
445 44.728146 45.092040 44.801108
446 44.954257 44.307160 55.920105
447 44.352144 44.941512 67.264864
448 45.241974 44.669295 77.366682
449 45.605515 44.702231 88.875331
450 45.629792 44.968888 99.758566
451 44.668678 54.874206 99.453543
452 44.709813 54.417798 10.767905
453 45.151705 55.424995 21.695268
454 44.641615 55.159910 33.086948
455 44.728146 55.092041 44.801108
456 44.954257 54.307161 55.920105
457 44.352144 54.941513 67.264864
458 45.241974 54.669296 77.366682
459 45.605515 54.702232 88.875331
460 45.629791 54.968889 99.758566
461 44.668678 64.874206 99.453543
462 44.709813 64.417799 10.767905
463 45.151705 65.424996 21.695268
464 44.641615 65.159912 33.086948
465 44.728147 65.092042 44.801108
466 44.954257 64.307163 55.920105
467 44.352144 64.941514 67.264864
468 45.241974 64.669297 77.366682
