41474	-1	-1	-1
26856	666	-1	-1
16813	-1	-1	62936
78571	-1	-1	-1
48313	-1	48424	-1
54498	-1	-1	-1
51773	-1	-1	-1
14478	-1	-1	-1
24785	-1	-1	-1
44368	-1	24925	-1
49180	19174	21225	-1
45319	-1	-1	15866
57937	-1	-1	38017
24048	-1	-1	-1
73705	-1	-1	-1
70939	1250	1441	3599
40685	-1	-1	-1
2343	-1	-1	-1
72095	18401	-1	-1
2511	-1	-1	-1
31531	-1	-1	47947
47407	1126	-1	-1
26916	-1	-1	-1
33157	-1	-1	-1
44200	20313	-1	-1
10763	-1	-1	-1
60148	691	-1	-1
15837	-1	-1	-1
10175	28050	40051	-1
11691	-1	-1	-1
38010	-1	34837	-1
48996	-1	-1	-1
49152	697	55732	-1
62842	-1	-1	-1
52447	-1	36760	-1
55785	-1	-1	-1
32352	-1	-1	-1
62032	702	-1	-1
54693	-1	49272	-1
74505	-1	19212	-1
53710	-1	-1	-1
31965	5812	32096	40907
50478	-1	-1	-1
12717	32460	-1	-1
68544	28251	-1	73163
60932	-1	32360	-1
968	-1	-1	-1
67840	-1	-1	-1
2795	-1	63365	-1
5613	-1	-1	-1
36613	-1	-1	-1
47017	-1	-1	-1
40781	17301	-1	-1
25232	-1	-1	-1
54219	-1	-1	-1
18469	-1	-1	-1
53035	-1	-1	-1
17253	-1	10760	12673
61938	-1	-1	-1
60238	565	25879	-1
56899	32232	70057	-1
72373	-1	-1	-1
16185	20766	-1	-1
17801	5698	-1	-1
4573	-1	-1	-1
65783	-1	25952	-1
79244	-1	-1	-1
35767	-1	-1	65515
36428	-1	-1	-1
80200	2981	77873	-1
48333	-1	-1	-1
31428	-1	-1	-1
12563	-1	-1	-1
62146	738	-1	-1
55015	63177	-1	-1
3832	740	-1	-1
72058	741	-1	-1
